Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Toyota,Camry,58784 km,Sedan,I-4 cyl,8 Speed Automatic,FWD,Pre-Dawn Grey Mica,null,null,null,Gas,8.5L/100km,6.2L/100km,33998
2018,Toyota,RAV4,75151 km,SUV,I-4 cyl,Automatic,4WD,Magnetic Grey Metallic,Black,null,null,Regular Unleaded,6.9L/100km,7.8L/100km,33998
2020,Toyota,RAV4,31223 km,SUV,4 Cylinder Engine 2.5L,Automatic,AWD,Magnetic Grey Metallic,Black,null,4,Gas,9.2L/100km,7.1L/100km,34339
2019,Toyota,Prius,60093 km,Hatchback,4 Cylinder Engine,CVT,FWD,Hypersonic Red,Black,4,4,Electric,4.3L/100km,4.4L/100km,30995
2022,Toyota,Camry,23725 km,Sedan,2.5,Automatic,FWD,Midnight Black Metallic,Black,5,4,Gas,8.5L/100km,6.1L/100km,34490
2019,Toyota,RAV4,31176 km,SUV,2.5,Automatic,AWD,Super White,Grey,5,4,Gas,9.2L/100km,7.1L/100km,34490
2018,Toyota,RAV4,85788 km,SUV,4 Cylinder Engine,Automatic,AWD,Blizzard Pearl,Brown,5,4,Gasoline Hybrid,6.9L/100km,7.8L/100km,34590
2021,Toyota,RAV4,24509 km,SUV,I-4 cyl,8 Speed Automatic,FWD,Silver Sky Metallic,null,null,null,Gas,8.8L/100km,6.8L/100km,34798
2021,Toyota,RAV4,44000 km,SUV,2.5L,Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,8.7L/100km,6.9L/100km,34800
2021,Toyota,RAV4,27000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Magnetic Grey Metallic,Black,null,4,Gas,8.7L/100km,6.9L/100km,34900
2016,Toyota,4Runner,120583 km,SUV,V6 Cylinder Engine,Automatic,4WD,Midnight Black Metallic,Black,null,null,Gas,14.2L/100km,11.1L/100km,34900
2021,Toyota,RAV4,46114 km,SUV,4 Cylinder Engine,Automatic,AWD,Midnight Black Metallic,null,null,4,Gas,8.7L/100km,6.9L/100km,34955
2019,Toyota,RAV4,34682 km,SUV,4 Cylinder Engine,Automatic,AWD,Blueprint,Black,5,4,Gas,9.2L/100km,7.1L/100km,34990
